Layer,Name,GEOID,Population,CIP_2010-2020,CIP_2010-2020_moe,PCT-W_2018-2022,PCT-W_2018-2022_moe,POP_2018-2022,POP_2018-2022_moe,EKW_2022,EKW_2022_moe,RBS_2018-2022,RBS_2018-2022_moe,RBU_2018-2022,RBU_2018-2022_moe,TRF_2020,TRF_2020_moe,EVR_2018,EVR_2018_moe,VAC_2018-2022,VAC_2018-2022_moe
,,,,"Change in Population (% change), 2010-2020",(90% margin of error),"Demographics, Non-Hispanic White (% of residents), 2018-2022",(90% margin of error),"Population (residents), 2018-2022",(90% margin of error),"Walkability Index, 2022",(90% margin of error),"Severely rent-burdened (% of renter-occupied housing units), 2018-2022",(90% margin of error),"Rent-burdened (% of renter-occupied housing units), 2018-2022",(90% margin of error),"Traffic intensity (distance-weighted vehicles), 2020",(90% margin of error),"Eviction rate (% of renter-occupied households), 2018",(90% margin of error),"Vacant (% of housing units), 2018-2022",(90% margin of error)
Census tract,Tract 601,17031060100,2830,10.15959517,,74.79546884833228,4.430034303946676,3178.0,501.99999999999994,15.17,,19.291338582677163,12.382513554316402,45.07874015748031,20.384094123564932,277.2448496026855,,0.16,,6.534508076358296,5.52960726908909
Census tract,Tract 602,17031060200,2313,9.56892468,,73.21844434094085,8.598880357741539,2147.0,316.0,14.75,,12.70949720670391,7.477851301072199,31.70391061452514,12.214774552975028,337.7569977193255,,0.64,,3.634826711749789,3.268922068949516
Census tract,Tract 603,17031060300,3076,8.348009863,,74.76072314781992,8.839136978997807,2821.0,380.0,17.08,,10.091743119266056,7.606711105041606,15.902140672782874,8.546326001487639,377.06408300286085,,0.15,,5.368589743589744,5.337553596097427
Census tract,Tract 604,17031060400,3709,10.05934718,,80.33053373069629,5.066060758211672,3691.0,443.0,16.33,,8.269720101781171,6.537546076579054,27.989821882951656,11.328102440799166,329.0732192553788,,,,5.005889281507656,4.152303970305953
Census tract,Tract 605,17031060500,1374,4.965622613,,72.96037296037296,11.787558899378675,1287.0,201.0,16.5,,17.391304347826086,8.694082818226816,33.83742911153119,10.770773567780134,109.6740189,,,,9.15032679738562,7.0031089610484685
Census tract,Tract 608,17031060800,5295,9.468678933,,64.31660086482421,6.082221396935364,5319.0,545.0,13.11,,16.475287069395904,6.683996549750723,32.6510234648028,10.277506548712063,2074.1649166793204,,0.37,,6.763410209898938,4.703903449019011
Census tract,Tract 609,17031060900,7104,3.451288772,,77.31528157856835,9.16050551799293,6943.0,897.0,12.17,,11.390101892285298,7.423919513112315,38.027656477438136,13.158817502109727,1636.8033782734235,,0.07,,7.091648905250921,4.593740761772049
Census tract,Tract 610,17031061000,2279,38.37279903,,67.98623063683304,5.061137095317229,2324.0,364.0,15.67,,25.75757575757576,9.98450984860388,35.47979797979798,10.878998139879585,127.64102,,0.25,,7.966804979253111,6.109551191026775
Census tract,Tract 611,17031061100,1367,-0.870195794,,77.15877437325905,5.287153956364383,1436.0,244.0,15.5,,11.545988258317024,6.8413682922971235,33.07240704500978,10.18709679935174,33.02571818,,0.0,,8.816120906801007,6.790984519721657
Census tract,Tract 612,17031061200,1932,2.276336686,,75.82846003898635,7.216115062800175,2052.0,264.0,15.83,,19.02071563088512,10.374060396077004,40.67796610169492,12.836357942744108,40.75172631,,0.22,,9.195402298850574,5.285306960568594
